City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dabakala,CI,8.37,-4.43,70.95,95,90,6.58,overcast clouds
1,Mataura,NZ,-46.19,168.86,52.25,64,100,11.07,overcast clouds
2,Vaini,TO,-21.2,-175.2,78.8,78,75,9.17,broken clouds
3,Kaihua,CN,23.37,104.28,78.12,67,82,7.36,broken clouds
4,Bredasdorp,ZA,-34.53,20.04,46.4,87,81,9.17,light rain
5,Grand Gaube,MU,-20.01,57.66,70.0,80,2,5.99,clear sky
6,Gladstone,AU,-23.85,151.25,75.2,41,9,20.8,clear sky
7,Bengkulu,ID,-3.8,102.27,85.37,63,32,7.85,scattered clouds
8,Zhangye,CN,38.93,100.45,57.07,73,100,9.78,overcast clouds
9,Chuy,UY,-33.7,-53.46,57.7,95,79,4.7,broken clouds
10,Puerto Ayora,EC,-0.74,-90.35,64.99,87,60,8.68,broken clouds
11,Tuktoyaktuk,CA,69.45,-133.04,48.2,66,75,13.87,broken clouds
12,Richards Bay,ZA,-28.78,32.04,62.51,87,63,4.36,broken clouds
13,Arraial Do Cabo,BR,-22.97,-42.03,71.49,87,0,25.64,clear sky
14,Norman Wells,CA,65.28,-126.83,50.0,66,90,4.7,overcast clouds
15,Rikitea,PF,-23.12,-134.97,69.51,65,0,5.48,clear sky
16,Isangel,VU,-19.55,169.27,78.8,88,75,9.17,broken clouds
17,Bilibino,RU,68.05,166.44,52.18,51,100,4.81,overcast clouds
18,Chokurdakh,RU,70.63,147.92,40.98,81,100,8.16,overcast clouds
19,Morro Da Fumaca,BR,-28.65,-49.21,63.16,89,1,2.73,clear sky
20,Ponta Do Sol,PT,32.67,-17.1,77.0,69,40,10.29,light intensity drizzle rain
21,Albany,US,42.6,-73.97,62.01,84,70,2.15,broken clouds
22,Santa Cruz,BO,-17.8,-63.17,73.4,83,0,5.82,clear sky
23,Kodiak,US,57.79,-152.41,62.6,51,1,4.7,clear sky
24,Hofn,IS,64.25,-15.21,51.37,62,49,11.01,scattered clouds
25,Qaqortoq,GL,60.72,-46.03,55.4,50,100,20.8,light rain
26,Kapaa,US,22.08,-159.32,82.4,65,20,13.87,few clouds
27,Ambilobe,MG,-13.2,49.05,68.81,65,0,4.94,clear sky
28,Saint-Philippe,RE,-21.36,55.77,68.0,72,41,5.82,scattered clouds
29,Hermanus,ZA,-34.42,19.23,48.0,82,76,1.99,light rain
30,Caucaia,BR,-3.74,-38.65,79.0,78,20,13.87,few clouds
31,Butaritari,KI,3.07,172.79,82.42,74,68,12.88,broken clouds
32,Lazaro Cardenas,MX,17.96,-102.2,78.96,83,83,4.27,broken clouds
33,College,US,64.86,-147.8,60.8,67,75,1.66,thunderstorm
34,Busselton,AU,-33.65,115.33,57.99,58,11,7.0,few clouds
35,Makakilo City,US,21.35,-158.09,87.8,45,20,9.17,few clouds
36,Saskylakh,RU,71.92,114.08,65.26,40,0,7.65,clear sky
37,Kibuye,RW,-2.06,29.35,66.72,64,5,1.3,clear sky
38,Barrow,US,71.29,-156.79,37.4,86,90,16.11,mist
39,Upernavik,GL,72.79,-56.15,39.34,73,0,13.65,clear sky
40,Nemuro,JP,43.32,145.57,62.6,93,75,12.75,light intensity shower rain
41,Kemijarvi,FI,66.71,27.43,48.16,69,100,3.06,overcast clouds
42,Owando,CG,-0.48,15.9,68.43,94,100,2.73,overcast clouds
43,Punta Arenas,CL,-53.15,-70.92,30.2,68,57,14.99,broken clouds
44,Hithadhoo,MV,-0.6,73.08,82.33,70,100,11.56,overcast clouds
45,Tautira,PF,-17.73,-149.15,84.2,54,20,3.36,few clouds
46,Mehamn,NO,71.04,27.85,43.65,72,82,7.05,broken clouds
47,Cherskiy,RU,68.75,161.3,49.69,71,100,9.17,overcast clouds
48,Beloha,MG,-25.17,45.05,68.72,60,0,3.58,clear sky
49,Nikolskoye,RU,59.7,30.79,55.0,93,20,2.28,few clouds
50,Victoria,HK,22.29,114.16,90.0,62,26,8.01,scattered clouds
51,Cape Town,ZA,-33.93,18.42,50.0,76,75,5.82,broken clouds
52,Georgetown,MY,5.41,100.34,87.8,74,20,4.7,few clouds
53,Qaanaaq,GL,77.48,-69.36,38.97,88,97,2.06,overcast clouds
54,Te Anau,NZ,-45.42,167.72,46.98,83,100,8.37,light rain
55,Vung Tau,VN,10.35,107.08,85.6,69,80,8.63,broken clouds
56,Mumford,GH,5.26,-0.76,74.1,89,77,9.66,broken clouds
57,Springbok,ZA,-29.66,17.89,41.0,100,90,13.87,light intensity drizzle
58,Tapa,EE,59.26,25.96,42.8,93,26,3.36,fog
59,Aswan,EG,24.09,32.91,77.74,28,0,4.12,clear sky
60,Klimovo,RU,52.38,32.19,54.5,95,11,1.12,few clouds
61,Yellowknife,CA,62.46,-114.35,53.01,76,75,11.41,broken clouds
62,Esna,EG,25.29,32.55,80.6,47,0,3.36,clear sky
63,Nizhneangarsk,RU,55.78,109.55,54.57,86,99,2.33,overcast clouds
64,Alta Floresta,BR,-9.88,-56.09,75.36,41,0,1.81,clear sky
65,Turukhansk,RU,65.82,87.98,59.27,73,45,1.59,scattered clouds
66,Waipawa,NZ,-41.41,175.52,60.8,67,8,20.8,clear sky
67,Teya,RU,60.38,92.63,61.92,70,28,5.91,light rain
68,Namatanai,PG,-3.67,152.43,84.52,66,49,6.06,scattered clouds
69,Bethel,US,41.37,-73.41,71.01,88,1,2.26,clear sky
70,Kenai,US,60.55,-151.26,62.6,59,1,8.05,clear sky
71,Staryy Nadym,RU,65.61,72.68,59.88,75,100,6.38,overcast clouds
72,Norsup,VU,-16.07,167.38,78.8,88,75,9.17,broken clouds
73,Roseburg,US,43.22,-123.34,84.2,21,1,6.93,clear sky
74,Yumen,CN,40.28,97.2,61.81,46,100,3.89,overcast clouds
75,Yarim,YE,14.3,44.38,62.74,60,70,1.52,broken clouds
76,Salalah,OM,17.02,54.09,75.2,100,90,2.24,light intensity drizzle
77,Saint Anthony,US,45.02,-93.22,72.0,64,75,14.99,broken clouds
78,Riyadh,SA,24.69,46.72,78.8,29,59,3.36,broken clouds
79,Yacuiba,BO,-22.04,-63.68,65.52,69,58,2.57,broken clouds
80,Beringovskiy,RU,63.05,179.32,50.61,83,100,15.12,overcast clouds
81,Nantucket,US,41.28,-70.1,69.8,88,1,8.05,mist
82,Avarua,CK,-21.21,-159.78,77.0,69,0,10.29,clear sky
83,Kruisfontein,ZA,-34.0,24.73,47.25,93,70,5.35,broken clouds
84,Castro,BR,-24.79,-50.01,57.47,82,0,2.71,clear sky
85,Priiskovyy,RU,51.93,116.63,65.01,56,67,9.37,broken clouds
86,Ormara,PK,25.21,64.64,82.24,85,50,13.15,scattered clouds
87,Bilma,NE,18.69,12.92,89.96,42,65,3.51,broken clouds
88,Broome,US,42.25,-75.83,68.0,88,75,4.7,light rain
89,Yarensk,RU,62.17,49.09,52.93,91,99,9.64,moderate rain
90,Port Alfred,ZA,-33.59,26.89,55.58,67,0,9.98,clear sky
91,Sobolevo,RU,54.43,31.9,49.46,93,92,2.8,overcast clouds
92,Lata,PT,40.16,-8.33,61.0,82,0,1.99,clear sky
93,Ilo,PE,-17.64,-71.34,59.54,84,81,9.04,broken clouds
94,Mahebourg,MU,-20.41,57.7,71.6,78,75,10.29,shower rain
95,Ushuaia,AR,-54.8,-68.3,32.0,90,90,32.21,heavy snow
96,Sao Joao Da Ponte,BR,-15.93,-44.01,64.49,75,37,8.14,scattered clouds
97,Ballarat,AU,-37.57,143.85,57.99,59,0,4.0,clear sky
98,Yeniseysk,RU,58.45,92.17,66.0,60,0,4.38,clear sky
99,Provideniya,RU,64.38,-173.3,51.8,71,90,6.71,overcast clouds
100,La Libertad,EC,-2.23,-80.9,69.8,88,75,11.41,broken clouds
101,Baruun-Urt,MN,46.68,113.28,67.8,64,23,12.19,few clouds
102,Esperance,AU,-33.87,121.9,57.2,67,90,25.28,overcast clouds
103,Opuwo,NA,-18.06,13.84,47.57,58,69,1.79,broken clouds
104,Cidreira,BR,-30.18,-50.21,63.97,82,100,11.3,overcast clouds
105,Sao Joao Da Barra,BR,-21.64,-41.05,72.0,87,0,15.03,clear sky
106,Kavieng,PG,-2.57,150.8,84.47,72,0,12.01,clear sky
107,Hilo,US,19.73,-155.09,84.2,51,1,8.05,clear sky
108,Santiago Del Estero,AR,-27.8,-64.26,61.38,82,0,5.19,clear sky
109,Tasiilaq,GL,65.61,-37.64,41.0,86,100,1.12,overcast clouds
110,Severobaykalsk,RU,55.65,109.32,54.52,88,99,0.92,light rain
111,Jamestown,US,42.1,-79.24,70.0,93,90,10.29,overcast clouds
112,Port Elizabeth,ZA,-33.92,25.57,50.0,81,17,5.82,few clouds
113,Bluff,NZ,-46.6,168.33,52.12,75,89,34.14,overcast clouds
114,Thompson,CA,55.74,-97.86,55.4,82,75,6.93,broken clouds
115,Kirakira,SB,-10.45,161.92,84.78,64,100,4.21,overcast clouds
116,Egvekinot,RU,66.32,-179.17,44.11,70,91,11.56,overcast clouds
117,Mar Del Plata,AR,-38.0,-57.56,57.2,93,90,2.24,mist
118,Dingle,PH,11.0,122.67,88.05,69,71,8.39,broken clouds
119,Atuona,PF,-9.8,-139.03,78.15,78,64,19.53,light rain
120,Vila,PT,42.03,-8.16,66.99,87,75,1.12,broken clouds
121,Kathu,TH,7.92,98.33,84.99,88,75,8.12,moderate rain
122,Karratha,AU,-20.74,116.85,95.0,15,0,11.03,clear sky
123,Kaitangata,NZ,-46.28,169.85,52.84,63,92,15.75,overcast clouds
124,Sitka,US,57.05,-135.33,57.2,67,75,4.7,broken clouds
125,Birjand,IR,32.87,59.22,60.8,22,0,8.08,clear sky
126,Constitucion,CL,-35.33,-72.42,50.81,89,85,13.65,light rain
127,Kudahuvadhoo,MV,2.67,72.89,82.04,74,98,6.91,overcast clouds
128,Kaeo,NZ,-35.1,173.78,61.41,63,2,7.76,clear sky
129,Kendari,ID,-3.94,122.5,86.36,57,43,2.42,scattered clouds
130,Manzil Kamil,TN,35.62,10.67,81.0,78,0,8.05,clear sky
131,Zadar,HR,44.12,15.24,68.0,82,0,4.7,clear sky
132,Dikson,RU,73.51,80.55,48.27,83,81,8.21,broken clouds
133,Churapcha,RU,62.0,132.43,69.53,32,0,5.97,clear sky
134,Aleksandrovka,UA,46.84,32.76,60.8,87,0,4.47,clear sky
135,Vardo,NO,70.37,31.11,49.32,79,73,15.05,broken clouds
136,Kosa,RU,59.94,55.0,58.62,97,100,3.33,light rain
137,Hobart,AU,-42.88,147.33,64.4,45,75,11.41,broken clouds
138,Eureka,US,40.8,-124.16,57.99,4,1,1.32,clear sky
139,Mawana,IN,29.1,77.92,82.94,74,11,8.16,few clouds
140,Lincoln,US,40.8,-96.67,78.8,57,90,12.75,overcast clouds
141,Henties Bay,NA,-22.12,14.28,46.0,82,10,9.98,clear sky
142,Saint George,US,37.1,-113.58,96.8,11,1,5.82,clear sky
143,Kulhudhuffushi,MV,6.62,73.07,83.14,69,34,8.08,scattered clouds
144,Taltal,CL,-25.4,-70.48,55.36,68,23,2.75,few clouds
145,Buta,CD,2.79,24.73,69.87,98,100,1.39,moderate rain
146,Trinidad,BO,-14.83,-64.9,78.37,43,5,1.77,clear sky
147,Kamaishi,JP,39.27,141.88,93.2,67,75,6.93,broken clouds
148,Ohaeawai,NZ,-35.35,173.88,63.0,3,3,8.99,light rain
149,Nome,US,64.5,-165.41,60.01,82,75,8.05,broken clouds
150,Timbiras,BR,-4.26,-43.94,72.73,80,0,3.24,clear sky
151,Mikuni,JP,36.22,136.15,91.4,59,40,14.99,scattered clouds
152,Dukat,RU,62.55,155.55,37.2,93,100,8.63,light rain
153,Pevek,RU,69.7,170.31,39.6,91,100,1.66,overcast clouds
154,Mirnyy,RU,62.54,113.96,50.0,71,40,2.24,haze
155,Bambous Virieux,MU,-20.34,57.76,71.6,78,75,10.29,shower rain
156,Hambantota,LK,6.12,81.12,86.0,66,75,8.05,broken clouds
157,Lerwick,GB,60.15,-1.15,48.2,87,35,11.41,scattered clouds
158,Krasnoyarskaya,RU,47.65,42.04,65.71,58,0,5.73,clear sky
159,Imeni Poliny Osipenko,RU,52.42,136.49,67.17,43,0,7.2,clear sky
160,Cairns,AU,-16.92,145.77,75.0,73,90,19.46,light intensity shower rain
161,Broken Hill,AU,-31.95,141.43,71.6,18,0,16.11,clear sky
162,Cartagena Del Chaira,CO,1.33,-74.84,71.33,97,100,1.61,heavy intensity rain
163,Kinshasa,CD,-4.32,15.32,73.4,83,75,5.93,broken clouds
164,Araioses,BR,-2.89,-41.9,76.17,82,1,9.4,clear sky
165,Muroto,JP,33.28,134.15,89.6,66,40,8.05,scattered clouds
166,Maceio,BR,-9.67,-35.74,71.6,94,40,3.36,scattered clouds
167,Bowen,AU,-20.02,148.23,73.4,49,75,26.4,broken clouds
168,Marinette,US,45.1,-87.63,69.8,88,90,11.41,overcast clouds
169,Sambava,MG,-14.27,50.17,71.71,73,59,10.36,broken clouds
170,Carnarvon,AU,-24.87,113.63,71.6,56,40,19.46,scattered clouds
171,Nichinan,JP,31.6,131.37,87.8,74,40,10.29,scattered clouds
172,Husavik,IS,66.04,-17.34,46.4,93,90,1.12,overcast clouds
173,Kuandian,CN,40.73,124.78,80.35,71,93,3.04,overcast clouds
174,Anchorage,US,61.22,-149.9,62.6,51,1,6.93,clear sky
175,Tiksi,RU,71.69,128.87,46.44,71,28,10.09,scattered clouds
176,Seoul,KR,37.57,126.98,80.6,94,90,3.83,moderate rain
177,Ardrishaig,GB,56.02,-5.45,46.0,93,7,6.93,clear sky
178,Tahta,EG,26.77,31.5,78.8,44,0,9.17,clear sky
179,Vostok,RU,46.49,135.88,55.87,99,100,6.51,light rain
180,Gardner,US,42.58,-72.0,62.6,82,1,3.36,clear sky
181,East London,ZA,-33.02,27.91,53.6,81,0,9.17,clear sky
182,Grindavik,IS,63.84,-22.43,48.2,100,90,9.17,light intensity drizzle
183,Erdenet,MN,49.03,104.08,53.85,90,100,4.88,overcast clouds
184,Kerekegyhaza,HU,46.94,19.48,64.4,72,0,2.24,clear sky
185,Bellingham,US,48.76,-122.49,64.0,72,1,3.36,clear sky
186,Khatanga,RU,71.97,102.5,66.2,39,2,7.25,clear sky
187,Sokoni,TZ,-6.43,39.55,71.6,88,40,9.1,scattered clouds
188,Fez,MA,34.04,-5.0,64.4,93,9,11.41,clear sky
189,Lebu,CL,-37.62,-73.65,44.96,74,44,17.96,scattered clouds
190,Macomb,US,40.46,-90.67,80.01,88,1,5.82,clear sky
191,Novobiryusinskiy,RU,56.96,97.71,68.22,63,81,2.93,light rain
192,Hasaki,JP,35.73,140.83,97.0,66,40,10.29,scattered clouds
193,Nova Olimpia,BR,-14.8,-57.29,76.17,22,0,3.74,clear sky
194,Mitsamiouli,KM,-11.38,43.28,75.69,79,16,11.65,few clouds
195,Saint-Augustin,CA,51.23,-58.65,49.66,82,50,10.29,scattered clouds
196,Arlit,NE,18.74,7.39,82.13,61,99,7.23,overcast clouds
197,New Norfolk,AU,-42.78,147.06,61.0,53,100,3.0,overcast clouds
198,Lashio,MM,22.93,97.75,74.55,88,100,0.67,overcast clouds
199,Pemangkat,ID,1.17,108.97,83.19,72,96,2.46,overcast clouds
200,Pangnirtung,CA,66.15,-65.71,47.03,56,5,4.81,clear sky
201,Southbridge,US,42.08,-72.03,62.01,95,74,1.86,broken clouds
202,Harper,LR,4.38,-7.72,75.99,86,98,10.07,light rain
203,Malanje,AO,-9.54,16.34,59.61,97,33,4.88,scattered clouds
204,Cayenne,GF,4.93,-52.33,75.2,100,98,7.11,light rain
205,Manyana,BW,-23.4,21.72,49.86,44,7,15.32,clear sky
206,Dinajpur,BD,25.63,88.64,88.5,64,37,6.93,scattered clouds
207,Werda,BW,-25.27,23.28,48.13,50,58,14.45,broken clouds
208,Lundazi,ZM,-12.29,33.18,60.71,69,0,4.52,clear sky
209,Port-Cartier,CA,50.03,-66.87,51.01,76,20,5.82,few clouds
210,Bichura,RU,50.59,107.6,64.8,73,100,2.26,overcast clouds
211,Pisco,PE,-13.7,-76.22,62.6,82,40,2.24,scattered clouds
212,Mahajanga,MG,-15.72,46.32,64.4,82,16,3.36,few clouds
213,Severo-Kurilsk,RU,50.68,156.12,51.12,88,88,9.42,light rain
214,Klaksvik,FO,62.23,-6.59,48.2,87,76,4.7,broken clouds
215,Tazovskiy,RU,67.47,78.7,57.81,70,0,4.32,clear sky
216,Lakselv,NO,70.05,24.97,42.8,81,30,19.46,scattered clouds
217,Elizabeth City,US,36.29,-76.25,84.2,89,1,11.41,clear sky
218,Maracas,BR,-13.44,-40.43,57.72,99,73,4.9,broken clouds
219,Lorengau,PG,-2.02,147.27,85.69,72,95,13.27,overcast clouds
220,Bekhtery,UA,46.25,32.29,60.8,87,25,4.47,scattered clouds
221,Olinda,BR,-8.01,-34.86,77.0,83,40,5.82,scattered clouds
222,Paso De Carrasco,UY,-34.86,-56.05,57.99,100,40,7.29,scattered clouds
223,Chute-Aux-Outardes,CA,49.12,-68.4,50.0,71,1,4.7,clear sky
224,Nicolas Bravo,MX,18.45,-88.92,75.92,95,4,3.22,clear sky
225,Vao,NC,-22.67,167.48,68.88,72,66,19.33,broken clouds
226,Neftcala,AZ,39.37,49.25,76.39,63,0,3.0,clear sky
227,Senneterre,CA,48.38,-77.23,53.6,87,75,4.03,broken clouds
228,Sur,OM,22.57,59.53,88.97,53,99,1.34,overcast clouds
229,Torbay,CA,47.67,-52.73,55.99,87,5,19.46,clear sky
230,Koidu,SL,8.42,-10.83,70.41,96,100,2.26,overcast clouds
231,Prudnik,PL,50.32,17.57,66.0,69,100,1.99,light rain
232,Saldanha,ZA,-33.01,17.94,50.0,87,71,4.7,broken clouds
233,Ixtapa,MX,20.7,-105.2,82.4,74,90,2.24,overcast clouds
234,Arroyo,ES,41.61,-4.8,52.0,76,1,9.17,clear sky
235,Soe,ID,-9.86,124.28,80.11,38,43,11.86,scattered clouds
236,Genhe,CN,50.78,121.52,51.67,92,100,6.53,light rain
237,Cooma,AU,-36.23,149.13,66.2,17,0,4.7,clear sky
238,Sana,YE,15.35,44.21,68.07,48,75,2.51,broken clouds
239,Grahamstown,ZA,-33.3,26.53,45.9,63,0,10.83,clear sky
240,Jensen Beach,US,27.25,-80.23,84.2,70,1,5.82,clear sky
241,Palmer,US,42.16,-72.33,64.0,93,75,2.06,broken clouds
242,Coahuayana,MX,18.73,-103.68,69.8,83,90,1.07,light intensity drizzle
243,Narsaq,GL,60.92,-46.05,55.4,50,100,20.8,light rain
244,Rutana,BI,-3.87,30.1,58.3,77,59,1.23,broken clouds
245,Guerrero Negro,MX,27.98,-114.06,76.5,73,0,10.83,clear sky
246,Rio Gallegos,AR,-51.62,-69.22,32.0,85,3,32.21,clear sky
247,San Patricio,MX,19.22,-104.7,78.76,83,91,7.23,light rain
248,Kahului,US,20.89,-156.47,87.8,45,1,19.46,clear sky
249,Nyurba,RU,63.28,118.33,63.01,47,100,6.44,overcast clouds
250,Rocha,UY,-34.48,-54.33,55.92,96,89,4.34,overcast clouds
251,Toowoomba,AU,-27.55,151.97,69.8,35,0,8.05,clear sky
252,Tripoli,LY,32.88,13.19,78.3,62,0,9.75,clear sky
253,Oistins,BB,13.07,-59.53,82.4,74,40,18.34,scattered clouds
254,Wattegama,LK,6.8,81.48,86.0,66,75,8.05,broken clouds
255,Santa Rosa,PH,14.31,121.11,90.0,74,100,9.17,overcast clouds
256,Tual,ID,-5.67,132.75,79.77,82,30,21.3,light rain
257,Port Hardy,CA,50.7,-127.42,59.0,72,40,3.36,scattered clouds
258,Rurrenabaque,BO,-14.44,-67.53,73.6,61,0,2.42,clear sky
259,Weston,US,26.1,-80.4,84.99,83,1,6.93,clear sky
260,Aklavik,CA,68.22,-135.01,55.4,43,20,9.17,few clouds
261,Amahai,ID,-3.33,128.92,80.65,80,70,11.74,broken clouds
262,San Juan,AR,-31.54,-68.54,59.05,31,1,9.42,clear sky
263,Padang,ID,-0.95,100.35,84.79,64,82,4.14,broken clouds
264,Hvolsvollur,IS,63.75,-20.22,48.0,92,100,5.99,overcast clouds
265,Les Cayes,HT,18.2,-73.75,79.29,83,10,1.14,clear sky
266,Jeremie,HT,18.65,-74.12,81.61,80,8,2.26,clear sky
267,Nikolsk,RU,53.72,46.07,60.28,87,75,5.86,broken clouds
268,Roma,US,43.21,-75.46,62.6,82,75,3.36,broken clouds
269,Altay,CN,47.87,88.12,61.99,46,0,4.99,clear sky
270,Muzhi,RU,65.37,64.67,51.94,72,11,13.91,few clouds
271,Maningrida,AU,-12.07,134.27,86.58,46,27,14.74,scattered clouds
272,Denpasar,ID,-8.65,115.22,84.2,79,20,16.11,few clouds
273,San Cristobal,VE,7.77,-72.22,66.09,84,38,1.5,scattered clouds
274,Alofi,NU,-19.06,-169.92,78.8,69,29,19.46,scattered clouds
275,Bonthe,SL,7.53,-12.51,75.61,89,100,8.5,moderate rain
276,Xai-Xai,MZ,-25.05,33.64,66.31,87,0,3.89,clear sky
277,Scarborough,GB,54.28,-0.4,53.01,85,90,8.01,light rain
278,Kaseda,JP,31.42,130.32,87.8,66,40,10.29,scattered clouds
279,Nishihara,JP,26.18,127.76,89.6,74,75,12.75,broken clouds
280,Lewistown,US,40.6,-77.57,71.01,100,20,5.06,few clouds
281,Lingao,CN,19.91,109.69,87.89,64,66,5.28,broken clouds
282,Poum,NC,-20.23,164.02,71.73,82,80,25.81,broken clouds
283,Olafsvik,IS,64.89,-23.71,51.49,86,100,11.5,overcast clouds
284,Anadyr,RU,64.75,177.48,50.0,87,75,4.47,light intensity shower rain
285,Asau,RO,46.43,26.4,55.0,81,38,3.67,scattered clouds
286,Lokosovo,RU,61.13,74.82,58.44,88,62,6.33,broken clouds
287,Big Rapids,US,43.7,-85.48,69.8,94,40,6.93,scattered clouds
288,Marzuq,YE,14.4,46.47,81.54,46,70,7.38,broken clouds
289,Kanigoro,ID,-8.13,112.22,88.11,49,7,14.7,clear sky
290,Sardarshahr,IN,28.43,74.48,93.04,44,28,8.25,scattered clouds
291,San Rafael,AR,-34.62,-68.33,53.49,40,5,15.48,clear sky
292,Sorong,ID,-0.88,131.25,82.06,81,80,9.84,moderate rain
293,Tekeli,KZ,44.83,78.82,66.04,33,0,1.77,clear sky
294,Zeya,RU,53.75,127.27,70.39,32,40,6.02,scattered clouds
295,Puerto Del Rosario,ES,28.5,-13.86,73.4,78,20,19.46,few clouds
296,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,74.59,92,79,0.92,broken clouds
297,Bukachacha,RU,52.98,116.92,59.74,56,100,9.98,overcast clouds
298,North Bend,US,43.41,-124.22,66.0,93,75,23.04,broken clouds
299,Katsuura,JP,35.13,140.3,93.2,59,20,14.99,few clouds
300,Leningradskiy,RU,69.38,178.42,38.07,87,100,8.61,overcast clouds
301,Marawi,PH,8.0,124.29,84.99,70,100,5.99,overcast clouds
302,Joyabaj,GT,14.99,-90.81,66.2,93,20,6.93,few clouds
303,Puerto Madryn,AR,-42.77,-65.04,42.3,57,73,19.57,broken clouds
304,Omboue,GA,-1.57,9.26,73.87,85,100,7.58,overcast clouds
305,Natal,BR,-5.79,-35.21,75.2,88,20,6.93,few clouds
306,Honiara,SB,-9.43,159.95,87.8,70,75,10.29,shower rain
307,Tessalit,ML,20.2,1.01,85.14,51,58,15.35,broken clouds
308,Muhos,FI,64.81,25.99,37.4,93,0,4.7,clear sky
309,Dhali,IN,10.5,77.17,78.8,74,20,4.7,haze
310,Huarmey,PE,-10.07,-78.15,60.76,86,53,7.65,broken clouds
311,Naze,JP,28.37,129.48,89.6,79,20,10.29,few clouds
312,Rantepao,ID,-2.97,119.9,81.27,55,70,5.1,broken clouds
313,Luderitz,NA,-26.65,15.16,53.37,81,3,5.61,clear sky
314,Corpus Christi,US,27.8,-97.4,87.01,83,1,14.99,clear sky
315,Mount Isa,AU,-20.73,139.5,80.6,18,0,17.22,clear sky
316,Alenquer,BR,-1.94,-54.74,73.4,94,75,2.1,broken clouds
317,Kolga,EE,59.49,25.62,42.8,93,1,3.36,fog
318,Clyde River,CA,70.47,-68.59,42.8,93,1,9.17,clear sky
319,Portland,US,45.52,-122.68,77.0,50,1,8.05,clear sky
320,Fortuna,US,40.6,-124.16,57.0,100,1,8.05,clear sky
321,Acarau,BR,-2.89,-40.12,77.2,85,4,16.13,clear sky
322,Ajdabiya,LY,30.76,20.23,71.38,72,0,7.74,clear sky
323,Margate,GB,51.38,1.39,61.0,99,100,24.99,overcast clouds
324,Port-Gentil,GA,-0.72,8.78,75.02,85,100,13.42,overcast clouds
325,Kefamenanu,ID,-9.45,124.48,84.51,39,37,14.03,scattered clouds
326,Lagoa,PT,39.05,-27.98,74.3,94,2,15.86,light rain
327,Nivala,FI,63.92,24.97,42.01,90,0,2.35,clear sky
328,Usinsk,RU,65.99,57.53,48.96,67,1,12.01,clear sky
329,Elk Plain,US,47.05,-122.4,71.6,56,1,2.08,clear sky
330,Longyearbyen,SJ,78.22,15.64,33.8,90,75,2.24,broken clouds
331,Mamallapuram,IN,12.63,80.17,86.0,79,75,6.93,broken clouds
332,Mon,IN,26.75,95.1,79.21,80,100,0.36,overcast clouds
333,Santa Vitoria Do Palmar,BR,-33.52,-53.37,58.21,94,88,4.25,overcast clouds
334,Swan River,CA,52.11,-101.27,52.79,85,5,6.8,clear sky
335,Maniitsoq,GL,65.42,-52.9,51.98,55,100,7.47,overcast clouds
336,Okhotsk,RU,59.38,143.3,57.99,52,64,5.03,light rain
337,Hualmay,PE,-11.1,-77.61,60.44,85,40,8.05,scattered clouds
338,Zachary,US,30.65,-91.16,80.01,88,1,3.36,clear sky
339,Chippewa Falls,US,44.94,-91.39,71.6,73,1,9.17,clear sky
340,Dwarka,IN,22.24,68.97,83.3,79,96,12.35,moderate rain
